"learn_num","learn_title","learn_teacher","image_link","learn_link","price","sale_price"
437,"ISMS-P 인증심사원 자격검정 기본/실무 과정 시리즈 03 - T2. 인증기준2 (2/2)","보안프로젝트","https://cdn.inflearn.com/public/courses/326990/cover/4f44937d-dc17-4c22-b991-ec973005cd63/326990-eng.png","https://www.inflearn.com/course/isms-p-%EC%9D%B8%EC%A6%9D%EC%8B%AC%EC%82%AC%EC%9B%90-3",92400,132000
438,"ISMS-P 인증심사원 자격검정 기본/실무 과정 시리즈 02 - T2. 인증기준2 (1/2)","보안프로젝트","https://cdn.inflearn.com/public/courses/326987/cover/9781d6e0-4791-431a-afd8-32bf491e1d8e/326987-eng.png","https://www.inflearn.com/course/isms-p-%EC%9D%B8%EC%A6%9D%EC%8B%AC%EC%82%AC%EC%9B%90-2",92400,132000
439,"고객 데이터를 활용하는 CRM & 마케팅 자동화 코스","Grace Shin","https://cdn.inflearn.com/public/courses/326970/cover/515a5cb2-6ae3-49a0-9a97-063e02e2d03b/326970-eng.png","https://www.inflearn.com/course/crm-%EB%A7%88%EC%BC%80%ED%8C%85-%EC%9E%90%EB%8F%99%ED%99%94",48510,69300
440,"HTML5 CSS3 기초 & 반응형 웹 템플릿 만들기!","LIZ.B","https://cdn.inflearn.com/public/courses/326917/cover/2c6981f5-2323-4f96-8200-b4df7c9ff863/326917-eng.png","https://www.inflearn.com/course/html5-css3-%EA%B8%B0%EC%B4%88",25410,36300
441,"React 기반 Gatsby로 기술 블로그 개발하기","주현도","https://cdn.inflearn.com/public/courses/326897/cover/9ee11890-b271-4bcd-bfda-ed7cb3bd2e1d/Blog%20Development.png","https://www.inflearn.com/course/gatsby-%EA%B8%B0%EC%88%A0%EB%B8%94%EB%A1%9C%EA%B7%B8",-1,0
442,"돈이 보이는 금융공학","MCA 연구센터","https://cdn.inflearn.com/public/courses/326847/cover/d8702973-46e6-4a76-8437-586e30f1cbfc/326847-eng.png","https://www.inflearn.com/course/%EB%8F%88%EC%9D%B4-%EB%B3%B4%EC%9D%B4%EB%8A%94-%EA%B8%88%EC%9C%B5%EA%B3%B5%ED%95%99",19250,27500
443,"예제로 공부하는 Java 100 문제풀이 Part.1","유용한IT학습","https://cdn.inflearn.com/public/courses/326833/cover/97aa1dfb-a61d-42c9-ab6f-adf62b087dd0/326833_eng.jpg","https://www.inflearn.com/course/%EC%9E%90%EB%B0%94-100%EC%A0%9C-1",2640,26400
444,"[Get it Trend] 블록체인과 핀테크, 디지털 시대의 생존전략을 세워라!","인더스트리미디어","https://cdn.inflearn.com/public/courses/326819/cover/1a0551e1-e436-4c00-99e1-ed34b9775efe/Blockchain-FinTech-eng-1.jpg","https://www.inflearn.com/course/%EA%B2%9F%EC%9E%87%ED%8A%B8%EB%A0%8C%EB%93%9C-%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8-%ED%95%80%ED%85%8C%ED%81%AC",55440,79200
445,"로그프레소 시작하기","로그프레소","https://cdn.inflearn.com/public/courses/326809/cover/16db79a3-5dca-4399-bfd9-4900db37d45f/326809-eng.png","https://www.inflearn.com/course/%EB%A1%9C%EA%B7%B8%ED%94%84%EB%A0%88%EC%86%8C-%EC%9E%85%EB%AC%B8",23100,33000
446,"[Get it Trend] 빅데이터, 비즈니스 애널리틱스로 경쟁력을 높여라!","인더스트리미디어","https://cdn.inflearn.com/public/courses/326777/cover/940581cf-a7de-4951-8580-dd7c28782848/Big-Data-eng-1.jpg","https://www.inflearn.com/course/%EA%B2%9F%EC%9E%87%ED%8A%B8%EB%A0%8C%EB%93%9C-%EB%B9%85%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%95%A0%EB%84%90%EB%A6%AC%ED%8B%B1%EC%8A%A4",55440,79200
